customer_id,product_id,product_amount
0,3,173
0,4,132
0,7,107
0,2,97
0,6,88
0,1,70
0,0,62
0,5,62
0,10,57
0,9,56
1,4,118
1,2,112
1,9,108
1,3,101
1,7,94
1,1,91
1,5,75
1,0,52
1,8,48
1,10,48
2,9,164
2,5,159
2,1,121
2,7,109
2,8,107
2,3,103
2,0,85
2,10,83
2,6,62
2,4,60
3,5,136
3,1,115
3,6,104
3,8,104
3,4,102
3,10,98
3,0,91
3,3,81
3,9,76
3,7,61
4,8,163
4,5,134
4,2,128
4,10,116
4,9,113
4,7,86
4,3,75
4,1,72
4,6,67
4,4,66
5,6,95
5,2,93
5,0,77
5,1,77
5,5,72
5,7,72
5,4,71
5,10,65
5,9,62
5,3,60
6,4,149
6,2,136
6,10,129
6,8,117
6,1,102
6,9,100
6,5,85
6,6,75
6,3,73
6,7,37
7,5,210
7,1,108
7,0,89
7,8,84
7,6,83
7,4,81
7,10,76
7,9,74
7,7,73
7,2,66
8,3,137
8,1,120
8,7,102
8,5,96
8,4,93
8,6,87
8,9,70
8,0,67
8,8,38
8,2,36
9,9,194
9,5,143
9,6,120
9,3,116
9,0,115
9,10,109
9,7,88
9,4,77
9,2,64
9,1,38
10,8,178
10,9,123
10,0,121
10,6,95
10,7,89
10,1,86
10,10,73
10,5,72
10,3,60
10,2,56
